Date,Value;;;;Nasdaqdatalink
2000-12-31,53.88801505549464;;;;
2001-12-31,55.09659928699369;;;;
2002-12-31,55.271956075687676;;;;
2003-12-31,57.77128626774549;;;;
2004-12-31,59.00892743899462;;;;
2005-12-31,60.71715980034005;;;;
2006-12-31,60.263855583503336;;;;
2007-12-31,59.73143398070679;;;;
2008-12-31,60.392253758398304;;;;
2009-12-31,55.8722325003122;;;;
2010-12-31,60.27167274296606;;;;
2011-12-31,56.1568325541224;;;;
2012-12-31,54.58553272811346;;;;
2013-12-31,53.63824289904929;;;;
2014-12-31,48.37677421515477;;;;
2015-12-31,49.26637512936862;;;;
2016-12-31,51.856481190911225;;;;
2017-12-31,54.065580131087486;;;;
2018-12-31,53.05177573325054;;;;
2019-12-31,53.550000048548306;;;;
2020-12-31,52.20946970235267;;;;
