Date;Value;;Cushing, OK WTI Spot Price FOB (Dollars per Barrel), Monthly
Jan-00;27.26;;https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=RWTC&f=M
Feb-00;29.37;;
Mar-00;29.84;;
Apr-00;25.72;;
May-00;28.79;;
Jun-00;31.82;;
Jul-00;29.7;;
Aug-00;31.26;;
Sep-00;33.88;;
Oct-00;33.11;;
Nov-00;34.42;;
Dec-00;28.44;;
Jan-01;29.59;;
Feb-01;29.61;;
Mar-01;27.25;;
Apr-01;27.49;;
May-01;28.63;;
Jun-01;27.6;;
Jul-01;26.43;;
Aug-01;27.37;;
Sep-01;26.2;;
Oct-01;22.17;;
Nov-01;19.64;;
Dec-01;19.39;;
Jan-02;19.72;;
Feb-02;20.72;;
Mar-02;24.53;;
Apr-02;26.18;;
May-02;27.04;;
Jun-02;25.52;;
Jul-02;26.97;;
Aug-02;28.39;;
Sep-02;29.66;;
Oct-02;28.84;;
Nov-02;26.35;;
Dec-02;29.46;;
Jan-03;32.95;;
Feb-03;35.83;;
Mar-03;33.51;;
Apr-03;28.17;;
May-03;28.11;;
Jun-03;30.66;;
Jul-03;30.76;;
Aug-03;31.57;;
Sep-03;28.31;;
Oct-03;30.34;;
Nov-03;31.11;;
Dec-03;32.13;;
Jan-04;34.31;;
Feb-04;34.69;;
Mar-04;36.74;;
Apr-04;36.75;;
May-04;40.28;;
Jun-04;38.03;;
Jul-04;40.78;;
Aug-04;44.9;;
Sep-04;45.94;;
Oct-04;53.28;;
Nov-04;48.47;;
Dec-04;43.15;;
Jan-05;46.84;;
Feb-05;48.15;;
Mar-05;54.19;;
Apr-05;52.98;;
May-05;49.83;;
Jun-05;56.35;;
Jul-05;59;;
Aug-05;64.99;;
Sep-05;65.59;;
Oct-05;62.26;;
Nov-05;58.32;;
Dec-05;59.41;;
Jan-06;65.49;;
Feb-06;61.63;;
Mar-06;62.69;;
Apr-06;69.44;;
May-06;70.84;;
Jun-06;70.95;;
Jul-06;74.41;;
Aug-06;73.04;;
Sep-06;63.8;;
Oct-06;58.89;;
Nov-06;59.08;;
Dec-06;61.96;;
Jan-07;54.51;;
Feb-07;59.28;;
Mar-07;60.44;;
Apr-07;63.98;;
May-07;63.46;;
Jun-07;67.49;;
Jul-07;74.12;;
Aug-07;72.36;;
Sep-07;79.92;;
Oct-07;85.8;;
Nov-07;94.77;;
Dec-07;91.69;;
Jan-08;92.97;;
Feb-08;95.39;;
Mar-08;105.45;;
Apr-08;112.58;;
May-08;125.4;;
Jun-08;133.88;;
Jul-08;133.37;;
Aug-08;116.67;;
Sep-08;104.11;;
Oct-08;76.61;;
Nov-08;57.31;;
Dec-08;41.12;;
Jan-09;41.71;;
Feb-09;39.09;;
Mar-09;47.94;;
Apr-09;49.65;;
May-09;59.03;;
Jun-09;69.64;;
Jul-09;64.15;;
Aug-09;71.05;;
Sep-09;69.41;;
Oct-09;75.72;;
Nov-09;77.99;;
Dec-09;74.47;;
Jan-10;78.33;;
Feb-10;76.39;;
Mar-10;81.2;;
Apr-10;84.29;;
May-10;73.74;;
Jun-10;75.34;;
Jul-10;76.32;;
Aug-10;76.6;;
Sep-10;75.24;;
Oct-10;81.89;;
Nov-10;84.25;;
Dec-10;89.15;;
Jan-11;89.17;;
Feb-11;88.58;;
Mar-11;102.86;;
Apr-11;109.53;;
May-11;100.9;;
Jun-11;96.26;;
Jul-11;97.3;;
Aug-11;86.33;;
Sep-11;85.52;;
Oct-11;86.32;;
Nov-11;97.16;;
Dec-11;98.56;;
Jan-12;100.27;;
Feb-12;102.2;;
Mar-12;106.16;;
Apr-12;103.32;;
May-12;94.66;;
Jun-12;82.3;;
Jul-12;87.9;;
Aug-12;94.13;;
Sep-12;94.51;;
Oct-12;89.49;;
Nov-12;86.53;;
Dec-12;87.86;;
Jan-13;94.76;;
Feb-13;95.31;;
Mar-13;92.94;;
Apr-13;92.02;;
May-13;94.51;;
Jun-13;95.77;;
Jul-13;104.67;;
Aug-13;106.57;;
Sep-13;106.29;;
Oct-13;100.54;;
Nov-13;93.86;;
Dec-13;97.63;;
Jan-14;94.62;;
Feb-14;100.82;;
Mar-14;100.8;;
Apr-14;102.07;;
May-14;102.18;;
Jun-14;105.79;;
Jul-14;103.59;;
Aug-14;96.54;;
Sep-14;93.21;;
Oct-14;84.4;;
Nov-14;75.79;;
Dec-14;59.29;;
Jan-15;47.22;;
Feb-15;50.58;;
Mar-15;47.82;;
Apr-15;54.45;;
May-15;59.27;;
Jun-15;59.82;;
Jul-15;50.9;;
Aug-15;42.87;;
Sep-15;45.48;;
Oct-15;46.22;;
Nov-15;42.44;;
Dec-15;37.19;;
Jan-16;31.68;;
Feb-16;30.32;;
Mar-16;37.55;;
Apr-16;40.75;;
May-16;46.71;;
Jun-16;48.76;;
Jul-16;44.65;;
Aug-16;44.72;;
Sep-16;45.18;;
Oct-16;49.78;;
Nov-16;45.66;;
Dec-16;51.97;;
Jan-17;52.5;;
Feb-17;53.47;;
Mar-17;49.33;;
Apr-17;51.06;;
May-17;48.48;;
Jun-17;45.18;;
Jul-17;46.63;;
Aug-17;48.04;;
Sep-17;49.82;;
Oct-17;51.58;;
Nov-17;56.64;;
Dec-17;57.88;;
Jan-18;63.7;;
Feb-18;62.23;;
Mar-18;62.73;;
Apr-18;66.25;;
May-18;69.98;;
Jun-18;67.87;;
Jul-18;70.98;;
Aug-18;68.06;;
Sep-18;70.23;;
Oct-18;70.75;;
Nov-18;56.96;;
Dec-18;49.52;;
Jan-19;51.38;;
Feb-19;54.95;;
