Date,Value;;;Nasdaqdatalink
2000-12-31,16185.345815097668;;;
2001-12-31,16440.74398861621;;;
2002-12-31,16395.61239671582;;;
2003-12-31,16476.058790982646;;;
2004-12-31,16589.038581634704;;;
2005-12-31,16742.374472321324;;;
2006-12-31,16765.463472526455;;;
2007-12-31,16472.014178890156;;;
2008-12-31,16242.119455160277;;;
2009-12-31,15504.984904099209;;;
2010-12-31,15343.846338562009;;;
2011-12-31,14914.058587386045;;;
2012-12-31,14393.100572435123;;;
2013-12-31,14222.51858894023;;;
2014-12-31,13979.673920904583;;;
2015-12-31,14319.270053055956;;;
2016-12-31,14619.030144517159;;;
2017-12-31,14929.170089771887;;;
2018-12-31,14908.107057340903;;;
2019-12-31,14826.244243305055;;;
2020-12-31,12787.502921135754;;;
